order,tags,artist,track,album,accent,cover_file,cover_url,spotify_url,apple_url
1,personal,Metric,Empty,Live It Out,#ff2f92,,,,
,personal,Metric,Too Little Too Late,Live It Out,#ff2f92,,,,
,personal,Metric,Poster of a Girl,Live It Out,#ff2f92,,,,
2,personal,Matt Maeson,Year After Year,A Quiet And Harmless Living,,,,,
,"personal,ulas",K.Flay,Time For You,Life as a Dog,,,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/d7/05/0c/d7050c3f-dc10-86b9-9384-e795f2bda0ad/4050538649963.jpg/296x296bb.webp,,
,bassline,Kendrick Lamar,TV Off,GNX,#c7c7c7,,,,
3,"personal,bassline",Travis Scott,Coffee Bean,ASTROWORLD,#d9a441,,,,
,bassline,Travis Scott,Through the Late Night,Birds In The Trap McKnight,,,,,
,bassline,James Blake,Barefoot in the Park (feat. ROSALÍA),Assume Form (Deluxe),,,,,
,bassline,"Tyler, The Creator",November,Flower Boy,,,,,
,bassline,Kanye West,Champion,Graduation,,,,,
4,personal,Metric,Combat Baby,"Old World Underground, Where Are You Now?",,,,,
1,dreamy,Beach House,Wishes,Bloom,,,,,
2,dreamy,Tame Impala,Let It Happen,Currents,,,,,
,dreamy,Slowdive,Sugar for the Pill,Slowdive,,,,,
,dreamy,Broken Social Scene,This Briefest Kiss,Remember The Humans,,,,,
,distortion,Muse,Sing For Absolution,Absolution,,,,,
,distortion,Mitski,First Love/Late Spring,Bury Me At Makeout Creek,,,,,
,distortion,Silversun Pickups,Skin Graph,Neck of the Woods,,,,,
,pop,Michael Jackson,Thriller,Thriller,,,,,
,distortion,Arctic Monkeys,Perhaps Vampires Is a Bit Strong But...,"Whatever People Say I Am, That's What I'm Not ",,,,,
,personal,Wet Leg,mangetout,Moisturizer,,,,,
